,open,close,high,low,volume,money,code
2024-01-02,4.87,4.84,4.89,4.8,727450.0,3522075.5,000007.XSHE
2024-01-03,4.84,4.94,5.04,4.81,1669050.0,8218546.0,000007.XSHE
2024-01-04,4.94,4.9,5.0,4.88,1103800.0,5444440.0,000007.XSHE
2024-01-05,4.96,4.9,4.97,4.87,910000.0,4467906.0,000007.XSHE
2024-01-08,4.9,4.75,4.9,4.75,1194400.0,5746629.5,000007.XSHE
2024-01-09,4.75,4.75,4.77,4.68,864600.0,4079608.0,000007.XSHE
2024-01-10,4.75,4.7,4.76,4.68,389728.0,1835313.6,000007.XSHE
2024-01-11,4.7,4.78,4.79,4.66,573778.0,2710680.5,000007.XSHE
2024-01-12,4.74,4.66,4.75,4.62,2095150.0,9808135.22,000007.XSHE
2024-01-15,4.62,4.63,4.68,4.59,713600.0,3305437.0,000007.XSHE
2024-01-16,4.61,4.59,4.61,4.54,655650.0,2995757.5,000007.XSHE
2024-01-17,4.6,4.56,4.63,4.54,805900.0,3687013.5,000007.XSHE
2024-01-18,4.57,4.33,4.59,4.33,2545200.0,11127471.0,000007.XSHE
2024-01-19,4.22,4.27,4.36,4.19,788200.0,3366798.0,000007.XSHE
2024-01-22,4.26,4.06,4.26,4.06,1524800.0,6234422.0,000007.XSHE
2024-01-23,4.02,3.9,4.05,3.86,4980545.0,19368693.7,000007.XSHE
2024-01-24,3.89,4.06,4.07,3.89,2505045.0,9984726.1,000007.XSHE
2024-01-25,4.26,4.26,4.26,4.26,496722.0,2116036.0,000007.XSHE
2024-01-26,4.47,4.47,4.47,4.47,180652.0,807514.44,000007.XSHE
2024-01-29,4.6,4.69,4.69,4.6,2740275.0,12726831.09,000007.XSHE
2024-01-30,4.81,4.71,4.83,4.58,5843500.0,27549754.55,000007.XSHE
2024-01-31,4.61,4.47,4.7,4.47,2813600.0,12717136.0,000007.XSHE
2024-02-01,4.31,4.29,4.34,4.25,2720450.0,11615702.5,000007.XSHE
2024-02-02,4.35,4.21,4.35,4.14,1349700.0,5695906.0,000007.XSHE
2024-02-05,4.15,4.0,4.16,4.0,907900.0,3649893.0,000007.XSHE
2024-02-06,3.8,3.98,4.03,3.8,2570100.0,9899003.0,000007.XSHE
2024-02-07,3.98,3.9,4.16,3.83,1424628.0,5713598.52,000007.XSHE
2024-02-08,3.9,4.02,4.02,3.71,3606128.0,13680187.38,000007.XSHE
2024-02-19,4.02,4.08,4.12,4.0,2315100.0,9425597.28,000007.XSHE
2024-02-20,4.09,4.28,4.28,4.02,2196000.0,9179766.0,000007.XSHE
2024-02-21,4.3,4.29,4.36,4.22,1982050.0,8503496.0,000007.XSHE
2024-02-22,4.27,4.22,4.32,4.16,1707400.0,7214520.0,000007.XSHE
2024-02-23,4.2,4.12,4.21,4.01,4571374.0,18660252.98,000007.XSHE
2024-02-26,4.08,4.23,4.32,4.07,3670324.0,15361021.14,000007.XSHE
2024-02-27,4.2,4.21,4.25,4.16,3132200.0,13134458.0,000007.XSHE
2024-02-28,4.17,4.0,4.22,4.0,4864074.0,19919779.0,000007.XSHE
2024-02-29,3.86,3.98,4.01,3.86,4129001.0,16213412.89,000007.XSHE
2024-03-01,3.98,3.93,3.98,3.83,4699477.0,18339291.98,000007.XSHE
2024-03-04,3.93,3.87,3.95,3.78,3818650.0,14643662.5,000007.XSHE
2024-03-05,3.88,4.06,4.06,3.84,3839988.0,15189603.34,000007.XSHE
2024-03-06,4.09,4.17,4.26,4.04,7459805.0,30957838.1,000007.XSHE
2024-03-07,4.15,4.14,4.24,4.08,4797650.0,19894344.0,000007.XSHE
2024-03-08,4.16,4.23,4.23,4.1,4166100.0,17312612.5,000007.XSHE
2024-03-11,4.44,4.44,4.44,4.41,4856850.0,21557675.0,000007.XSHE
2024-03-12,4.53,4.38,4.54,4.28,7928424.0,34956102.2,000007.XSHE
2024-03-13,4.41,4.35,4.48,4.32,3560515.0,15625547.3,000007.XSHE
2024-03-14,4.38,4.38,4.42,4.32,2936138.0,12828069.06,000007.XSHE
2024-03-15,4.36,4.4,4.41,4.31,3854203.0,16796760.05,000007.XSHE
2024-03-18,4.42,4.38,4.44,4.33,2191271.0,9568598.5,000007.XSHE
2024-03-19,4.37,4.52,4.59,4.35,5032189.0,22611627.01,000007.XSHE
2024-03-20,4.53,4.52,4.54,4.44,2065366.0,9300743.68,000007.XSHE
2024-03-21,4.51,4.49,4.53,4.42,2664645.0,11922680.62,000007.XSHE
2024-03-22,4.48,4.59,4.68,4.37,4267968.0,19311342.52,000007.XSHE
2024-03-25,4.55,4.53,4.65,4.52,2294800.0,10520636.0,000007.XSHE
2024-03-26,4.5,4.48,4.56,4.46,1575499.0,7089116.54,000007.XSHE
2024-03-27,4.48,4.38,4.5,4.35,1624669.0,7193971.84,000007.XSHE
2024-03-28,4.32,4.5,4.56,4.32,1968550.0,8793596.0,000007.XSHE
2024-03-29,4.41,4.47,4.5,4.41,1686388.0,7505215.36,000007.XSHE
2024-04-01,4.46,4.47,4.49,4.44,1527600.0,6821256.0,000007.XSHE
2024-04-02,4.47,4.39,4.48,4.34,2419542.0,10638802.4,000007.XSHE
